,filepath,filename,AGE_GROUP,SUBJECT_NO,SEX
0,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/A001_M_20231121_treadmill-005_angle_5xzyframe.pkl,A001_M_20231121_treadmill-005_angle_5xzyframe,A,001,M
1,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/A002_M_20231122_treadmill-005_angle_5xzyframe.pkl,A002_M_20231122_treadmill-005_angle_5xzyframe,A,002,M
2,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/A003_F_20231122_treadmill-005_angle_5xzyframe.pkl,A003_F_20231122_treadmill-005_angle_5xzyframe,A,003,F
3,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/A004_F_20231123_treadmill-005_angle_5xzyframe.pkl,A004_F_20231123_treadmill-005_angle_5xzyframe,A,004,F
4,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/A005_F_20231127_treadmill-005_angle_5xzyframe.pkl,A005_F_20231127_treadmill-005_angle_5xzyframe,A,005,F
5,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/A006_F_20231128_treadmill-005_angle_5xzyframe.pkl,A006_F_20231128_treadmill-005_angle_5xzyframe,A,006,F
6,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/A007_F_20231128_treadmill-005_angle_5xzyframe.pkl,A007_F_20231128_treadmill-005_angle_5xzyframe,A,007,F
7,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/A008_F_20231129_treadmill-005_angle_5xzyframe.pkl,A008_F_20231129_treadmill-005_angle_5xzyframe,A,008,F
8,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/A009_M_20231129_treadmill-005_1_angle_5xzyframe.pkl,A009_M_20231129_treadmill-005_1_angle_5xzyframe,A,009,M
9,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/A010_M_20231130_treadmill-005_angle_5xzyframe.pkl,A010_M_20231130_treadmill-005_angle_5xzyframe,A,010,M
10,/mnt/ExpDrive/SparkLabLongRun/Data/peam_dataset/28-04-69/position/RightFoot/Foot_to_Pelvis/A012_F_20231201_treadmill-005_angle_5xzyframe.pkl,A012_F_20231201_treadmill-005_angle_5xzyframe,A,012,F
