,Session,SubjectNo,SessionLength,SessionFileName,SessionFilePath,EndNumberPlusOne
0,1,1,11838,A001_M_20231121_treadmill-001_angle_1,C:\Users\Admin\Desktop\peam_biodis_gait\pkl_peam_test\position\LeftFoot\Foot_to_Pelvis001\A001_M_20231121_treadmill-001_angle_1.pkl,11838
1,2,2,11302,A002_M_20231122_treadmill-001_angle_1,C:\Users\Admin\Desktop\peam_biodis_gait\pkl_peam_test\position\LeftFoot\Foot_to_Pelvis001\A002_M_20231122_treadmill-001_angle_1.pkl,23140
2,3,3,11212,A003_F_20231122_treadmill-001_angle_1,C:\Users\Admin\Desktop\peam_biodis_gait\pkl_peam_test\position\LeftFoot\Foot_to_Pelvis001\A003_F_20231122_treadmill-001_angle_1.pkl,34352
3,4,4,11255,A004_F_20231123_treadmill-001_angle_1,C:\Users\Admin\Desktop\peam_biodis_gait\pkl_peam_test\position\LeftFoot\Foot_to_Pelvis001\A004_F_20231123_treadmill-001_angle_1.pkl,45607
4,5,5,11236,A005_F_20231127_treadmill-001_angle_1,C:\Users\Admin\Desktop\peam_biodis_gait\pkl_peam_test\position\LeftFoot\Foot_to_Pelvis001\A005_F_20231127_treadmill-001_angle_1.pkl,56843
5,6,6,11240,A006_F_20231128_treadmill-001_angle_1,C:\Users\Admin\Desktop\peam_biodis_gait\pkl_peam_test\position\LeftFoot\Foot_to_Pelvis001\A006_F_20231128_treadmill-001_angle_1.pkl,68083
6,7,7,11149,A007_F_20231128_treadmill-001_angle_1,C:\Users\Admin\Desktop\peam_biodis_gait\pkl_peam_test\position\LeftFoot\Foot_to_Pelvis001\A007_F_20231128_treadmill-001_angle_1.pkl,79232
7,8,8,11216,A008_F_20231129_treadmill-001_angle_1,C:\Users\Admin\Desktop\peam_biodis_gait\pkl_peam_test\position\LeftFoot\Foot_to_Pelvis001\A008_F_20231129_treadmill-001_angle_1.pkl,90448
8,9,9,11206,A010_M_20231130_treadmill-001_angle_1,C:\Users\Admin\Desktop\peam_biodis_gait\pkl_peam_test\position\LeftFoot\Foot_to_Pelvis001\A010_M_20231130_treadmill-001_angle_1.pkl,101654
9,10,10,11287,A011_M_20231201_treadmill-001_angle_1,C:\Users\Admin\Desktop\peam_biodis_gait\pkl_peam_test\position\LeftFoot\Foot_to_Pelvis001\A011_M_20231201_treadmill-001_angle_1.pkl,112941
